datetime,ow_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,day_of_week,is_weekend,aqi_change_rate,aqi_change_rate_pct,aqi_rolling_3h,aqi_rolling_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,no2_rolling_3h,no2_rolling_24h,so2_rolling_3h,so2_rolling_24h,co_rolling_3h,co_rolling_24h,o3_rolling_3h,o3_rolling_24h,target_aqi,target_aqi_category
2025-08-12 17:00:00,3,73.35,0.0,0.11,38.16,0.45,13.66,60.43,0.0,2025,8,12,17,1,0,0.0,0.0,3.0,2.6666666666666665,13.636666666666663,12.6025,60.35333333333333,56.19499999999999,0.1066666666666666,0.0766666666666666,0.4533333333333333,0.4191666666666667,73.13333333333334,74.86333333333333,37.81333333333333,36.89166666666667,3,1
2025-08-12 18:00:00,3,74.22,0.0,0.11,38.47,0.45,13.7,60.56,0.0,2025,8,12,18,1,0,0.0,0.0,3.0,2.708333333333333,13.693333333333332,12.774583333333332,60.57666666666668,56.93416666666667,0.11,0.0779166666666666,0.4533333333333333,0.4229166666666666,73.50333333333333,74.77,38.13333333333333,36.93291666666666,3,1
2025-08-12 19:00:00,3,74.55,0.0,0.11,38.6,0.45,14.22,61.85,0.0,2025,8,12,19,1,0,0.0,0.0,3.0,2.75,13.86,12.939999999999998,60.946666666666665,57.63541666666666,0.11,0.0791666666666666,0.45,0.4258333333333333,74.04,74.7125,38.41,36.99125,3,1
2025-08-12 20:00:00,3,74.32,0.0,0.11,38.5,0.46,15.45,66.98,0.0,2025,8,12,20,1,0,0.0,0.0,3.0,2.7916666666666665,14.456666666666663,13.1225,63.13,58.445,0.11,0.0804166666666666,0.4533333333333333,0.4283333333333333,74.36333333333333,74.67,38.52333333333333,37.05916666666666,3,1
2025-08-12 21:00:00,3,73.71,0.0,0.11,38.21,0.49,16.89,73.96,0.0,2025,8,12,21,1,0,0.0,0.0,3.0,2.833333333333333,15.52,13.34625,67.59666666666666,59.49,0.11,0.08125,0.4666666666666666,0.4320833333333333,74.19333333333333,74.60708333333334,38.43666666666667,37.12791666666667,3,1
2025-08-12 22:00:00,3,73.29,0.0,0.12,38.22,0.5,18.04,80.07,0.0,2025,8,12,22,1,0,0.0,0.0,3.0,2.875,16.793333333333333,13.624166666666667,73.67,60.84958333333333,0.1133333333333333,0.0829166666666666,0.4833333333333334,0.43625,73.77333333333333,74.49916666666667,38.31,37.20041666666667,3,1
2025-08-12 23:00:00,3,73.39,0.0,0.12,38.6,0.5,18.65,83.86,0.0,2025,8,12,23,1,0,0.0,0.0,3.0,2.9166666666666665,17.86,13.94625,79.29666666666667,62.44166666666667,0.1166666666666666,0.0845833333333333,0.4966666666666666,0.4408333333333333,73.46333333333332,74.34750000000001,38.34333333333333,37.27916666666667,3,1
2025-08-13 00:00:00,3,74.13,0.0,0.12,39.34,0.51,19.38,87.88,0.0,2025,8,13,0,2,0,0.0,0.0,3.0,2.958333333333333,18.69,14.305,83.93666666666667,64.19791666666667,0.12,0.08625,0.5033333333333333,0.44625,73.60333333333334,74.19,38.72,37.373333333333335,3,1
2025-08-13 01:00:00,3,74.82,0.0,0.11,40.31,0.51,20.56,94.71,0.0,2025,8,13,1,2,0,0.0,0.0,3.0,3.0,19.53,14.689583333333331,88.81666666666666,66.09625,0.1166666666666666,0.0875,0.5066666666666667,0.45125,74.11333333333333,74.05166666666666,39.41666666666666,37.492916666666666,3,1
2025-08-13 02:00:00,4,75.08,0.0,0.11,40.93,0.52,21.57,101.01,0.0,2025,8,13,2,2,0,1.0,33.33333333333333,3.333333333333333,3.0416666666666665,20.50333333333333,15.06125,94.53333333333332,67.98291666666667,0.1133333333333333,0.08875,0.5133333333333333,0.4558333333333333,74.67666666666666,73.96958333333333,40.193333333333335,37.656666666666666,4,1
2025-08-13 03:00:00,4,74.95,0.0,0.12,41.15,0.53,22.13,104.57,0.0,2025,8,13,3,2,0,0.0,0.0,3.6666666666666665,3.083333333333333,21.42,15.40875,100.09666666666664,69.7675,0.1133333333333333,0.0904166666666666,0.52,0.4595833333333333,74.95,73.94708333333332,40.79666666666667,37.85708333333333,4,1
2025-08-13 04:00:00,4,74.59,0.01,0.12,41.11,0.52,22.26,105.95,0.0,2025,8,13,4,2,0,0.0,0.0,4.0,3.125,21.986666666666665,15.745416666666666,103.84333333333332,71.53166666666667,0.1166666666666666,0.0920833333333333,0.5233333333333333,0.4629166666666666,74.87333333333333,73.95416666666667,41.06333333333333,38.06791666666667,4,1
2025-08-13 05:00:00,4,74.26,0.01,0.11,41.05,0.52,22.19,106.15,0.0,2025,8,13,5,2,0,0.0,0.0,4.0,3.1666666666666665,22.19333333333333,16.082916666666666,105.55666666666666,73.31083333333333,0.1166666666666666,0.09375,0.5233333333333333,0.4666666666666666,74.60000000000001,73.9525,41.10333333333333,38.26541666666667,4,1
2025-08-13 06:00:00,4,74.17,0.01,0.09,40.86,0.51,21.93,105.39,0.0,2025,8,13,6,2,0,0.0,0.0,4.0,3.208333333333333,22.126666666666665,16.42375,105.83,75.09833333333333,0.1066666666666666,0.0949999999999999,0.5166666666666667,0.4704166666666667,74.34,73.93624999999999,41.00666666666667,38.43541666666667,4,1
2025-08-13 07:00:00,4,74.06,0.01,0.08,40.5,0.5,21.49,103.68,0.0,2025,8,13,7,2,0,0.0,0.0,4.0,3.25,21.87,16.760833333333334,105.07333333333334,76.83791666666666,0.0933333333333333,0.09625,0.51,0.4741666666666667,74.16333333333334,73.90458333333333,40.803333333333335,38.57958333333334,4,1
2025-08-13 08:00:00,4,73.99,0.01,0.07,40.03,0.5,20.96,101.37,0.0,2025,8,13,8,2,0,0.0,0.0,4.0,3.2916666666666665,21.46,17.08125,103.48,78.47874999999999,0.08,0.0970833333333333,0.5033333333333333,0.4775,74.07333333333334,73.89,40.46333333333333,38.71083333333333,4,1
2025-08-13 09:00:00,3,73.89,0.01,0.07,39.54,0.5,20.47,99.19,0.0,2025,8,13,9,2,0,-1.0,-25.0,3.6666666666666665,3.2916666666666665,20.97333333333333,17.37875,101.41333333333334,80.01166666666667,0.0733333333333333,0.0979166666666666,0.5,0.4804166666666667,73.98,73.91166666666666,40.02333333333333,38.84083333333333,3,1
2025-08-13 10:00:00,3,73.93,0.01,0.07,39.25,0.5,20.14,97.6,0.0,2025,8,13,10,2,0,0.0,0.0,3.333333333333333,3.2916666666666665,20.52333333333333,17.657916666666665,99.38666666666666,81.46875,0.07,0.09875,0.5,0.4829166666666667,73.93666666666667,73.95583333333333,39.60666666666666,38.96833333333333,3,1
2025-08-13 11:00:00,3,74.13,0.01,0.08,39.15,0.5,19.85,96.22,0.0,2025,8,13,11,2,0,0.0,0.0,3.0,3.2916666666666665,20.15333333333333,17.93,97.67,82.91791666666667,0.0733333333333333,0.0995833333333333,0.5,0.4854166666666666,73.98333333333333,74.00583333333333,39.31333333333333,39.0875,3,1
2025-08-13 12:00:00,3,74.27,0.01,0.09,39.24,0.49,19.66,95.0,0.0,2025,8,13,12,2,0,0.0,0.0,3.0,3.2916666666666665,19.883333333333333,18.203333333333333,96.27333333333333,84.38916666666667,0.08,0.1008333333333333,0.4966666666666666,0.4875,74.11,74.03666666666668,39.21333333333334,39.1975,3,1
2025-08-13 13:00:00,3,74.85,0.0,0.1,39.45,0.49,19.61,94.33,0.0,2025,8,13,13,2,0,0.0,0.0,3.0,3.2916666666666665,19.706666666666667,18.472916666666663,95.18333333333332,85.85624999999999,0.09,0.1016666666666666,0.4933333333333333,0.4895833333333333,74.41666666666667,74.07125,39.28,39.30083333333334,3,1
2025-08-13 14:00:00,3,74.99,0.0,0.11,39.53,0.49,19.65,93.74,0.0,2025,8,13,14,2,0,0.0,0.0,3.0,3.2916666666666665,19.64,18.737916666666667,94.35666666666668,87.29708333333333,0.0999999999999999,0.1020833333333333,0.49,0.4916666666666666,74.70333333333333,74.12458333333333,39.406666666666666,39.395,3,1
2025-08-13 15:00:00,3,75.01,0.0,0.11,39.53,0.5,19.78,93.45,0.0,2025,8,13,15,2,0,0.0,0.0,3.0,3.2916666666666665,19.68,18.99833333333333,93.84,88.69541666666667,0.1066666666666666,0.1025,0.4933333333333333,0.4937499999999999,74.94999999999999,74.20375,39.50333333333333,39.47916666666666,3,1
2025-08-13 16:00:00,3,75.04,0.0,0.11,39.52,0.5,19.88,93.15,0.0,2025,8,13,16,2,0,0.0,0.0,3.0,3.2916666666666665,19.77,19.255,93.44666666666669,90.04583333333335,0.11,0.1025,0.4966666666666666,0.4954166666666666,75.01333333333334,74.29125,39.52666666666667,39.552083333333336,3,1
2025-08-13 17:00:00,3,75.31,0.0,0.11,39.65,0.49,19.94,92.82,0.0,2025,8,13,17,2,0,0.0,0.0,3.0,3.2916666666666665,19.866666666666667,19.516666666666666,93.14,91.39541666666666,0.11,0.1025,0.4966666666666666,0.4970833333333333,75.12,74.37291666666665,39.56666666666667,39.61416666666667,3,1
2025-08-13 18:00:00,3,75.76,0.0,0.11,39.88,0.48,19.93,92.41,0.0,2025,8,13,18,2,0,0.0,0.0,3.0,3.2916666666666665,19.916666666666664,19.77625,92.79333333333334,92.7225,0.11,0.1025,0.49,0.4983333333333333,75.37,74.43708333333333,39.68333333333334,39.67291666666667,3,1
2025-08-13 19:00:00,3,76.33,0.0,0.11,40.25,0.46,19.81,91.97,0.0,2025,8,13,19,2,0,0.0,0.0,3.0,3.2916666666666665,19.89333333333333,20.009166666666665,92.39999999999998,93.9775,0.11,0.1025,0.4766666666666666,0.4987499999999999,75.8,74.51125,39.92666666666667,39.74166666666667,3,1
2025-08-13 20:00:00,3,76.78,0.0,0.11,40.62,0.44,19.86,92.46,0.0,2025,8,13,20,2,0,0.0,0.0,3.0,3.2916666666666665,19.866666666666664,20.192916666666665,92.28,95.03916666666667,0.11,0.1025,0.4599999999999999,0.4979166666666667,76.29,74.61375,40.25,39.830000000000005,3,1
2025-08-13 21:00:00,3,77.01,0.0,0.11,40.67,0.43,20.01,92.97,0.0,2025,8,13,21,2,0,0.0,0.0,3.0,3.2916666666666665,19.89333333333333,20.322916666666668,92.46666666666664,95.83125,0.11,0.1025,0.4433333333333333,0.4954166666666666,76.70666666666666,74.75125,40.51333333333333,39.9325,3,1
2025-08-13 22:00:00,3,77.15,0.0,0.11,40.62,0.43,20.21,93.43,0.0,2025,8,13,22,2,0,0.0,0.0,3.0,3.2916666666666665,20.026666666666667,20.41333333333333,92.95333333333332,96.38791666666668,0.11,0.1020833333333333,0.4333333333333333,0.4925,76.98,74.91208333333334,40.63666666666666,40.0325,3,1
2025-08-13 23:00:00,3,77.36,0.0,0.11,40.66,0.43,20.38,93.6,0.0,2025,8,13,23,2,0,0.0,0.0,3.0,3.2916666666666665,20.2,20.485416666666666,93.33333333333331,96.79375,0.11,0.1016666666666666,0.43,0.4895833333333333,77.17333333333333,75.0775,40.65,40.11833333333333,3,1
